사업소명,시도명,시군구명,소재지도로명주소,소재지지번주소,전화번호,면허구분명,업종명,운영여부,차량대수,데이터기준일자,제공기관코드,제공기관명
(주)남도특수,경상북도,칠곡군,경상북도 칠곡군 지천면 금호로1길 37-23,,,,일반화물자동차운송사업,Y,17,2025-08-31,5220000,경상북도 칠곡군
㈜동호물류,경상북도,칠곡군,경상북도 칠곡군 왜관읍 현대로 74,,,,일반화물자동차운송사업,Y,37,2025-08-31,5220000,경상북도 칠곡군
㈜유창운수,경상북도,칠곡군,경상북도 칠곡군 석적읍 동중리1길 79,,,,일반화물자동차운송사업,Y,20,2025-08-31,5220000,경상북도 칠곡군
㈜지투,경상북도,칠곡군,"경상북도 칠곡군 지천면 금호로 272, 104호",,,,일반화물자동차운송사업,Y,2,2025-08-31,5220000,경상북도 칠곡군
동광통운㈜,경상북도,칠곡군,"경상북도 칠곡군 북삼읍 칠곡대로 100, 2층",,,,일반화물자동차운송사업,Y,10,2025-08-31,5220000,경상북도 칠곡군
㈜삼화운수,경상북도,칠곡군,"경상북도 칠곡군 기산면 칠곡대로 1309, 102호",,,,일반화물자동차운송사업,Y,2,2025-08-31,5220000,경상북도 칠곡군
㈜탁로지스,경상북도,칠곡군,경상북도 칠곡군 동명면 경북대로 284,,,,일반화물자동차운송사업,Y,2,2025-08-31,5220000,경상북도 칠곡군
㈜가산운수,경상북도,칠곡군,경상북도 칠곡군 가산면 송신로 6,,,,일반화물자동차운송사업,Y,2,2025-08-31,5220000,경상북도 칠곡군
(주)하나로지스,경상북도,칠곡군,경상북도 칠곡군 왜관읍 칠곡대로 1913,,,,일반화물자동차운송사업,Y,6,2025-08-31,5220000,경상북도 칠곡군
㈜해피로지스,경상북도,칠곡군,경상북도 칠곡군 석적읍 석적로 652,,,,일반화물자동차운송사업,Y,16,2025-08-31,5220000,경상북도 칠곡군
(주)신화특운,경상북도,칠곡군,경상북도 칠곡군 동명면 금암6길 18,,,,일반화물자동차운송사업,Y,30,2025-08-31,5220000,경상북도 칠곡군
(주)성주로직스,경상북도,칠곡군,경상북도 칠곡군기산면 영리2길 7,,,,일반화물자동차운송사업,Y,24,2025-08-31,5220000,경상북도 칠곡군
경일통상자동차(주),경상북도,칠곡군,경상북도 칠곡군 석적읍 중지3길 168,,,,일반화물자동차운송사업,Y,69,2025-08-31,5220000,경상북도 칠곡군
(주)일신로지스,경상북도,칠곡군,"경상북도 칠곡군 북삼읍 인강8길 23, 104호",,,,일반화물자동차운송사업,Y,4,2025-08-31,5220000,경상북도 칠곡군
(주)미림물류,경상북도,칠곡군,경상북도 칠곡군 북삼읍 어로4길 6,,,,일반화물자동차운송사업,Y,2,2025-08-31,5220000,경상북도 칠곡군
(주)반야운수,경상북도,칠곡군,경상북도 칠곡군석적읍 중지3길 168,,,,일반화물자동차운송사업,Y,23,2025-08-31,5220000,경상북도 칠곡군
(주)대일화물,경상북도,칠곡군,경상북도 칠곡군 북삼읍 인강1길 26,,,,일반화물자동차운송사업,Y,2,2025-08-31,5220000,경상북도 칠곡군
(주)로한종합물류,경상북도,칠곡군,경상북도 칠곡군 지천면 금호자원길 40,,,,일반화물자동차운송사업,Y,2,2025-08-31,5220000,경상북도 칠곡군
(주)부강물류,경상북도,칠곡군,"경상북도 칠곡군 왜관읍 현대로 74, 2층",,,,일반화물자동차운송사업,Y,2,2025-08-31,5220000,경상북도 칠곡군
김영애,경상북도,칠곡군,"경상북도 칠곡군 북삼읍 인강9길 15, 101호",,,,일반화물자동차운송사업,Y,2,2025-08-31,5220000,경상북도 칠곡군
김종필,경상북도,칠곡군,"경상북도 칠곡군 석적읍 북중리3길 70, 108동 311호",,,,일반화물자동차운송사업,Y,2,2025-08-31,5220000,경상북도 칠곡군
㈜가온로직스틱스,경상북도,칠곡군,경상북도 칠곡군 북삼읍 인평중앙로 58,,,,일반화물자동차운송사업,Y,3,2025-08-31,5220000,경상북도 칠곡군
㈜바른물류서비스,경상북도,칠곡군,경상북도 칠곡군 가산면 경북대로 1987,,,,일반화물자동차운송사업,Y,3,2025-08-31,5220000,경상북도 칠곡군
(주)씨에스로지스,경상북도,칠곡군,경상북도 칠곡군 왜관읍 아곡8길 31,,,,일반화물자동차운송사업,Y,17,2025-08-31,5220000,경상북도 칠곡군
㈜프레쉬로지스,경상북도,칠곡군,경상북도 칠곡군 지천면 금호로 148-84,,,,일반화물자동차운송사업,Y,2,2025-08-31,5220000,경상북도 칠곡군
㈜대교운수,경상북도,칠곡군,경상북도 칠곡군 석적읍 남율로5길 49-14,,,,일반화물자동차운송사업,Y,2,2025-08-31,5220000,경상북도 칠곡군
㈜우영로지스,경상북도,칠곡군,경상북도 칠곡군 동명면 경북대로 284,,,,일반화물자동차운송사업,Y,3,2025-08-31,5220000,경상북도 칠곡군
㈜삼강사,경상북도,칠곡군,"경상북도 칠곡군 왜관읍 달오1길 9-4, 301호",,,,일반화물자동차운송사업,Y,2,2025-08-31,5220000,경상북도 칠곡군
태윤운송㈜,경상북도,칠곡군,경상북도 칠곡군 왜관읍 현대로 177,,,,일반화물자동차운송사업,Y,14,2025-08-31,5220000,경상북도 칠곡군
창선홀딩스㈜,경상북도,칠곡군,경상북도 칠곡군 왜관읍 아곡8길 31,,,,일반화물자동차운송사업,Y,2,2025-08-31,5220000,경상북도 칠곡군
㈜다온로지스,경상북도,칠곡군,"경상북도 칠곡군 석적읍 유학로 136, 2층",,,,일반화물자동차운송사업,Y,2,2025-08-31,5220000,경상북도 칠곡군
㈜삼손물류,경상북도,칠곡군,경상북도 칠곡군 지천면 금호로 172-10,,,,일반화물자동차운송사업,Y,2,2025-08-31,5220000,경상북도 칠곡군
㈜비전,경상북도,칠곡군,경상북도 칠곡군 약목면 교8길 61,,,,일반화물자동차운송사업,Y,2,2025-08-31,5220000,경상북도 칠곡군
㈜일광로직스,경상북도,칠곡군,경상북도 칠곡군 왜관읍 현대로 9-1,,,,일반화물자동차운송사업,Y,9,2025-08-31,5220000,경상북도 칠곡군
㈜대박물류,경상북도,칠곡군,경상북도 칠곡군 지천면 연화2길 32-22,,,,일반화물자동차운송사업,Y,2,2025-08-31,5220000,경상북도 칠곡군
㈜런마일로지스,경상북도,칠곡군,경상북도 칠곡군 석적읍 3공단2로 13,,,,일반화물자동차운송사업,Y,6,2025-08-31,5220000,경상북도 칠곡군
